"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"69","01/02/2020",1,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"70","31/01/2020",31,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"71","30/01/2020",30,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"72","29/01/2020",29,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"73","28/01/2020",28,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"74","27/01/2020",27,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"75","26/01/2020",26,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"76","25/01/2020",25,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"77","24/01/2020",24,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"78","23/01/2020",23,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"79","22/01/2020",22,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"80","21/01/2020",21,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"81","20/01/2020",20,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"82","19/01/2020",19,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"83","18/01/2020",18,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"84","17/01/2020",17,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"85","16/01/2020",16,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"86","15/01/2020",15,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"87","14/01/2020",14,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"88","13/01/2020",13,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"89","12/01/2020",12,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"90","11/01/2020",11,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"91","10/01/2020",10,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"92","09/01/2020",9,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"93","08/01/2020",8,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"94","07/01/2020",7,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"95","06/01/2020",6,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"96","05/01/2020",5,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"97","04/01/2020",4,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"98","03/01/2020",3,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"99","02/01/2020",2,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"100","01/01/2020",1,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"101","31/12/2019",31,12,2019,0,0,"Afghanistan","AF","AFG",37172386
"102","19/04/2020",19,4,2020,9,0,"Albania","AL","ALB",2866376
"103","18/04/2020",18,4,2020,21,0,"Albania","AL","ALB",2866376
"104","17/04/2020",17,4,2020,24,1,"Albania","AL","ALB",2866376
"105","16/04/2020",16,4,2020,19,1,"Albania","AL","ALB",2866376
"106","15/04/2020",15,4,2020,8,1,"Albania","AL","ALB",2866376
"107","14/04/2020",14,4,2020,21,0,"Albania","AL","ALB",2866376
"108","13/04/2020",13,4,2020,13,0,"Albania","AL","ALB",2866376
"109","12/04/2020",12,4,2020,17,0,"Albania","AL","ALB",2866376
"110","11/04/2020",11,4,2020,7,0,"Albania","AL","ALB",2866376
"111","10/04/2020",10,4,2020,9,1,"Albania","AL","ALB",2866376
"112","09/04/2020",9,4,2020,17,0,"Albania","AL","ALB",2866376
"113","08/04/2020",8,4,2020,6,0,"Albania","AL","ALB",2866376
"114","07/04/2020",7,4,2020,16,1,"Albania","AL","ALB",2866376
"115","06/04/2020",6,4,2020,28,2,"Albania","AL","ALB",2866376
"116","05/04/2020",5,4,2020,29,2,"Albania","AL","ALB",2866376
"117","04/04/2020",4,4,2020,27,1,"Albania","AL","ALB",2866376
"118","03/04/2020",3,4,2020,18,1,"Albania","AL","ALB",2866376
"119","02/04/2020",2,4,2020,16,0,"Albania","AL","ALB",2866376
"120","01/04/2020",1,4,2020,20,3,"Albania","AL","ALB",2866376
"121","31/03/2020",31,3,2020,11,2,"Albania","AL","ALB",2866376
"122","30/03/2020",30,3,2020,15,0,"Albania","AL","ALB",2866376
"123","29/03/2020",29,3,2020,11,1,"Albania","AL","ALB",2866376
"124","28/03/2020",28,3,2020,12,3,"Albania","AL","ALB",2866376
"125","27/03/2020",27,3,2020,28,1,"Albania","AL","ALB",2866376
"126","26/03/2020",26,3,2020,23,0,"Albania","AL","ALB",2866376
"127","25/03/2020",25,3,2020,23,1,"Albania","AL","ALB",2866376
"128","24/03/2020",24,3,2020,11,2,"Albania","AL","ALB",2866376
"129","23/03/2020",23,3,2020,13,0,"Albania","AL","ALB",2866376
"130","22/03/2020",22,3,2020,6,0,"Albania","AL","ALB",2866376
"131","21/03/2020",21,3,2020,0,0,"Albania","AL","ALB",2866376
"132","20/03/2020",20,3,2020,11,0,"Albania","AL","ALB",2866376
"133","19/03/2020",19,3,2020,4,1,"Albania","AL","ALB",2866376
"134","18/03/2020",18,3,2020,4,0,"Albania","AL","ALB",2866376
"135","17/03/2020",17,3,2020,9,0,"Albania","AL","ALB",2866376
"136","16/03/2020",16,3,2020,4,0,"Albania","AL","ALB",2866376
"137","15/03/2020",15,3,2020,5,0,"Albania","AL","ALB",2866376
"138","14/03/2020",14,3,2020,10,0,"Albania","AL","ALB",2866376
"139","13/03/2020",13,3,2020,12,0,"Albania","AL","ALB",2866376
"140","12/03/2020",12,3,2020,1,1,"Albania","AL","ALB",2866376
"141","11/03/2020",11,3,2020,4,0,"Albania","AL","ALB",2866376
"142","10/03/2020",10,3,2020,4,0,"Albania","AL","ALB",2866376
"143","09/03/2020",9,3,2020,2,0,"Albania","AL","ALB",2866376
"144","19/04/2020",19,4,2020,117,3,"Algeria","DZ","DZA",42228429
"145","18/04/2020",18,4,2020,150,16,"Algeria","DZ","DZA",42228429
"146","17/04/2020",17,4,2020,108,12,"Algeria","DZ","DZA",42228429
"147","16/04/2020",16,4,2020,90,11,"Algeria","DZ","DZA",42228429
"148","15/04/2020",15,4,2020,87,12,"Algeria","DZ","DZA",42228429
"149","14/04/2020",14,4,2020,69,20,"Algeria","DZ","DZA",42228429
"150","13/04/2020",13,4,2020,89,18,"Algeria","DZ","DZA",42228429
"151","12/04/2020",12,4,2020,64,19,"Algeria","DZ","DZA",42228429
"152","11/04/2020",11,4,2020,95,21,"Algeria","DZ","DZA",42228429
"153","10/04/2020",10,4,2020,94,30,"Algeria","DZ","DZA",42228429
"154","09/04/2020",9,4,2020,104,12,"Algeria","DZ","DZA",42228429
